+63750,-068517;america/iqaluit ~~~~~~~~~~~~~~~~ z_126.
+17971,-076793;america/jamaica ~~~~~~~~~~~~~~~~ -05:00
+58300,-134416;america/juneau ~~~~~~~~~~~~~~~~~ z_128.
+38256,-085751;america/kentucky/louisville ~~~~ z_129.
+36800,-084500;america/kentucky/monticello ~~~~ z_130.
+12144,-068266;america/kralendijk ~~~~~~~~~~~~~ -04:00
-16500,-068150;america/la paz ~~~~~~~~~~~~~~~~~ -04:00
-12060,-077038;america/lima ~~~~~~~~~~~~~~~~~~~ -05:00
+34050,-118250;america/los angeles ~~~~~~~~~~~~ z_134.
+18053,-063043;america/lower princes quarter ~~ -04:00
-09666,-035735;america/maceio ~~~~~~~~~~~~~~~~~ -03:00
+12136,-086251;america/managua ~~~~~~~~~~~~~~~~ -06:00
-03100,-060017;america/manaus ~~~~~~~~~~~~~~~~~ -04:00
+18120,-063025;america/marigot ~~~~~~~~~~~~~~~~ -04:00
+14600,-061000;america/martinique ~~~~~~~~~~~~~ -04:00
+25880,-097504;america/matamoros ~~~~~~~~~~~~~~ z_141.
+23217,-106417;america/mazatlan ~~~~~~~~~~~~~~~ -07:00
+47100,-056379;america/miquelon ~~~~~~~~~~~~~~~ z_143.
+45108,-087614;america/menominee ~~~~~~~~~~~~~~ z_144.
+20970,-089620;america/merida ~~~~~~~~~~~~~~~~~ -06:00
+55128,-131500;america/metlakatla ~~~~~~~~~~~~~ z_146.
+19433,-099133;america/mexico city ~~~~~~~~~~~~ -06:00
+46133,-064771;america/moncton ~~~~~~~~~~~~~~~~ z_148.
+25667,-100300;america/monterrey ~~~~~~~~~~~~~~ -06:00
-34884,-056182;america/montevideo ~~~~~~~~~~~~~ -03:00
+16750,-062200;america/montserrat ~~~~~~~~~~~~~ -04:00
+25078,-077339;america/nassau ~~~~~~~~~~~~~~~~~ z_193.
+40752,-073975;america/new york ~~~~~~~~~~~~~~~ z_153.
+49000,-088300;america/nipigon ~~~~~~~~~~~~~~~~ z_193.
+64504,-165399;america/nome ~~~~~~~~~~~~~~~~~~~ z_155.
-03855,-032425;america/fernando de noronha ~~~~ -02:00
+47268,-101777;america/north dakota/beulah ~~~~ z_157.
+47116,-101300;america/north dakota/center ~~~~ z_158.
+46843,-101412;america/north dakota/new salem ~ z_159.
+29564,-104416;america/ojinaga ~~~~~~~~~~~~~~~~ z_160.
+09080,-079680;america/panama ~~~~~~~~~~~~~~~~~ -05:00
+66148,-065699;america/pangnirtung ~~~~~~~~~~~~ z_126.
+05852,-055204;america/paramaribo ~~~~~~~~~~~~~ -03:00
+33448,-112074;america/phoenix ~~~~~~~~~~~~~~~~ -07:00
+18533,-072333;america/port au prince ~~~~~~~~~ z_165.
+10667,-061517;america/port of spain ~~~~~~~~~~ -04:00
-08762,-063904;america/porto velho ~~~~~~~~~~~~ -04:00
+18222,-066430;america/puerto rico ~~~~~~~~~~~~ -04:00
-53610,-072140;america/punta arenas ~~~~~~~~~~~ -03:00
+48717,-094567;america/rainy river ~~~~~~~~~~~~ z_197.
+62810,-092099;america/rankin inlet ~~~~~~~~~~~ z_171.
-08050,-034900;america/recife ~~~~~~~~~~~~~~~~~ -03:00
+50455,-104607;america/regina ~~~~~~~~~~~~~~~~~ -06:00
+74696,-094829;america/resolute ~~~~~~~~~~~~~~~ z_174.
-09975,-067810;america/rio branco ~~~~~~~~~~~~~ -05:00
-02430,-054720;america/santarem ~~~~~~~~~~~~~~~ -03:00
-33450,-070667;america/santiago ~~~~~~~~~~~~~~~ z_177.
+18467,-069950;america/santo domingo ~~~~~~~~~~ -04:00
-23550,-046633;america/sao paulo ~~~~~~~~~~~~~~ -03:00
+70485,-021967;america/scoresbysund ~~~~~~~~~~~ z_180.
+57053,-135335;america/sitka ~~~~~~~~~~~~~~~~~~ z_181.
+17900,-062833;america/saint barthelemy ~~~~~~~ -04:00
+47482,-052797;america/saint johns ~~~~~~~~~~~~ z_183.
+17310,-062720;america/saint kitts ~~~~~~~~~~~~ -04:00
+13883,-060967;america/saint lucia ~~~~~~~~~~~~ -04:00
+18333,-064917;america/saint thomas ~~~~~~~~~~~ -04:00
+13250,-061200;america/saint vincent ~~~~~~~~~~ -04:00
+50288,-107794;america/swift current ~~~~~~~~~~ -06:00
+14100,-087217;america/tegucigalpa ~~~~~~~~~~~~ -06:00
+77467,-069231;america/thule ~~~~~~~~~~~~~~~~~~ z_190.
+48441,-089328;america/thunder bay ~~~~~~~~~~~~ z_193.
+32525,-117033;america/tijuana ~~~~~~~~~~~~~~~~ z_192.
+43742,-079373;america/toronto ~~~~~~~~~~~~~~~~ z_193.
+18423,-064618;america/tortola ~~~~~~~~~~~~~~~~ -04:00
+49261,-123114;america/vancouver ~~~~~~~~~~~~~~ z_195.
+60724,-135056;america/whitehorse ~~~~~~~~~~~~~ -07:00
+49884,-097146;america/winnipeg ~~~~~~~~~~~~~~~ z_197.
+59547,-139727;america/yakutat ~~~~~~~~~~~~~~~~ z_198.
+62454,-114370;america/yellowknife ~~~~~~~~~~~~ z_199.
-66283,+110527;antarctica/casey station ~~~~~~~ +11:00
-68577,+077968;antarctica/davis station ~~~~~~~ +07:00
-66663,+140002;antarctica/dumont d'urville ~~~~ +10:00
-54500,+158936;antarctica/macquarie island ~~~~ z_203.
-67603,+062874;antarctica/mawson station ~~~~~~ +05:00
-77846,+166668;antarctica/mcmurdo station ~~~~~ z_390.
-64774,-064053;antarctica/palmer station ~~~~~~ -03:00
-67568,-068126;antarctica/rothera station ~~~~~ -03:00
-69004,+039582;antarctica/syowa station ~~~~~~~ +03:00
-72011,+002535;antarctica/troll station ~~~~~~~ z_209.
-78464,+106838;antarctica/vostok station ~~~~~~ +06:00
+78220,+015650;arctic/longyearbyen ~~~~~~~~~~~~ z_323.
+12800,+045033;asia/aden ~~~~~~~~~~~~~~~~~~~~~~ +03:00
+43278,+076896;asia/almaty ~~~~~~~~~~~~~~~~~~~~ +06:00
+31950,+035933;asia/amman ~~~~~~~~~~~~~~~~~~~~~ +03:00
+64733,+177517;asia/anadyr ~~~~~~~~~~~~~~~~~~~~ +12:00
+43653,+051158;asia/aqtau ~~~~~~~~~~~~~~~~~~~~~ +05:00
+50284,+057230;asia/aqtobe ~~~~~~~~~~~~~~~~~~~~ +05:00
